scene,id,title,artist,videoId,focus,length,license
B6_latin,b6_latin-lgw3u0wa3vg,Falling Leaves / Jazz Bossa /,MusMus,lgW3U0WA3vg,5,249,Free with attribution (musmus.main.jp)
B6_latin,b6_latin-7ge3pwsfu48,Hot Salsa,Audionautix / Jason Shaw,7ge3pWSFu48,5,141,CC BY 4.0
B6_latin,b6_latin-iagw8l5s-xa,Modern Jazz Samba,Kevin MacLeod,IaGW8L5S-XA,5,251,CC BY 4.0
B6_latin,b6_latin-iay1fwiigwc,Off to Osaka,Kevin MacLeod,iaY1fWiiGwc,5,109,CC BY 4.0
B6_latin,b6_latin-hpsgkm3n2am,Old Bossa,Twin Musicom,hPSgKm3n2aM,5,161,CC BY 4.0
B6_latin,b6_latin-8fbvi38gvjq,Sad Bossa /,MusMus,8fbvI38gVJQ,5,139,Free with attribution (musmus.main.jp)
B6_latin,b6_latin-jy81kvouwpo,Samba Isobel,Kevin MacLeod,JY81kVOuwPo,5,251,CC BY 4.0
B6_latin,b6_latin-ltblurpmmdy,Sideways Samba,Audionautix / Jason Shaw,ltblurPMmdY,5,191,CC BY 4.0
B6_latin,b6_latin-2a1m4orjy2k,柔らかな嘘,MusMus,2a1M4ORJY2k,5,172,Free with attribution (musmus.main.jp)
B6_latin,b6_latin-ou-moaztxhe,Samba Stings,Kevin MacLeod,OU-MOAZtXHE,3,47,CC BY 4.0
B7_blues,b7_blues-zoai7wds44c,'s - Basic Blues Stomp -- Rock/Retro,TeknoAXE,zOai7WDS44c,4,167,CC BY 4.0
B7_blues,b7_blues-33wptzmunai,Acoustic Blues,Audionautix / Jason Shaw,33WPtZmunaI,4,153,CC BY 4.0
B7_blues,b7_blues-gtl6kydlgps,Bass Walker,Kevin MacLeod,gTl6KydlGps,4,163,CC BY 4.0
B7_blues,b7_blues-ddjqcewyu1c,Bass Walker - Film Noir,Kevin MacLeod,ddjQcewYu1c,4,162,CC BY 4.0
B7_blues,b7_blues-nzexs165t7c,Big Blues,Audionautix / Jason Shaw,nZexS165t7c,4,202,CC BY 4.0
B7_blues,b7_blues-mehoyemjtbk,Big Blues Bed,Audionautix / Jason Shaw,meHoyeMJTbk,4,195,CC BY 4.0
B7_blues,b7_blues-h1rzv2uhfbk,Double Blues,Audionautix / Jason Shaw,H1rZv2uHfbk,4,127,CC BY 4.0
B7_blues,b7_blues-91urklvsq9e,Matt's Blues,Kevin MacLeod,91URklVsq9E,4,169,CC BY 4.0
B7_blues,b7_blues-1_jpevyost4,Monplaisir - Well end blues,Loyalty Freak Music / Komiku,1_jPEVyost4,4,160,CC0
B7_blues,b7_blues-pgh9wopoida,MyCherryCrush Bad Ol' Cat Rainy November Mix -- Jazz/Blues,TeknoAXE,pGH9wOPOiDA,4,199,CC BY 4.0
B7_blues,b7_blues-qycgqiiquqc,Nile's Blues,Kevin MacLeod,QYCgQIiqUqc,4,156,CC BY 4.0
B7_blues,b7_blues-qjcnidvyfz0,OctoBlues,Kevin MacLeod,qJcnidvyfz0,4,259,CC BY 4.0
B7_blues,b7_blues-25xg93vqmnw,OctoBlues - .com,Kevin MacLeod,25xg93vqmNw,4,253,CC BY 4.0
B7_blues,b7_blues-lh6rlmhfj18,Opheliea's Blues,Audionautix / Jason Shaw,lh6rlMHFj18,4,245,CC BY 4.0
B7_blues,b7_blues-fvuhgpknh6e,Porch Blues,Kevin MacLeod,FvUhGpKNH6E,4,118,CC BY 4.0
